round,date,team_home,team_away,full_text
Round 14,02.11.2024,Puszcza,Lech Poznan,02.11.2024 | Puszcza | Lech Poznan | 2 | 0
Round 14,02.11.2024,Motor Lublin,Pogon Szczecin,02.11.2024 | Motor Lublin | Pogon Szczecin | 4 | 2
Round 14,02.11.2024,Rakow,Stal Mielec,02.11.2024 | Rakow | Stal Mielec | 1 | 0
Round 13,27.10.2024,Legia,GKS Katowice,27.10.2024 | Legia | GKS Katowice | 4 | 1
Round 13,27.10.2024,Widzew Lodz,Gornik Zabrze,27.10.2024 | Widzew Lodz | Gornik Zabrze | 0 | 2
Round 13,27.10.2024,Jagiellonia,Korona Kielce,27.10.2024 | Jagiellonia | Korona Kielce | 3 | 1
Round 13,27.10.2024,Stal Mielec,Zaglebie,27.10.2024 | Stal Mielec | Zaglebie | 2 | 2
Round 13,26.10.2024,Lech Poznan,Radomiak Radom,26.10.2024 | Lech Poznan | Radomiak Radom | 2 | 1
Round 13,26.10.2024,Slask Wroclaw,Rakow,26.10.2024 | Slask Wroclaw | Rakow | 0 | 0
Round 13,26.10.2024,Cracovia,Motor Lublin,26.10.2024 | Cracovia | Motor Lublin | 6 | 2
Round 13,25.10.2024,Pogon Szczecin,Puszcza,25.10.2024 | Pogon Szczecin | Puszcza | 2 | 1
Round 13,25.10.2024,Piast Gliwice,Lechia Gdansk,25.10.2024 | Piast Gliwice | Lechia Gdansk | 3 | 3
Round 8,23.10.2024,Slask Wroclaw,Stal Mielec,23.10.2024 | Slask Wroclaw | Stal Mielec | 2 | 1
Round 12,21.10.2024,Radomiak Radom,Puszcza,21.10.2024 | Radomiak Radom | Puszcza | 2 | 0
Round 12,20.10.2024,Rakow,Pogon Szczecin,20.10.2024 | Rakow | Pogon Szczecin | 1 | 0
Round 12,20.10.2024,Gornik Zabrze,Stal Mielec,20.10.2024 | Gornik Zabrze | Stal Mielec | 3 | 1
Round 12,20.10.2024,GKS Katowice,Slask Wroclaw,20.10.2024 | GKS Katowice | Slask Wroclaw | 0 | 0
Round 12,19.10.2024,Cracovia,Lech Poznan,19.10.2024 | Cracovia | Lech Poznan | 0 | 2
Round 12,19.10.2024,Zaglebie,Jagiellonia,19.10.2024 | Zaglebie | Jagiellonia | 1 | 3
Round 12,19.10.2024,Motor Lublin,Widzew Lodz,19.10.2024 | Motor Lublin | Widzew Lodz | 3 | 4
Round 12,18.10.2024,Lechia Gdansk,Legia,18.10.2024 | Lechia Gdansk | Legia | 0 | 2
Round 12,18.10.2024,Korona Kielce,Piast Gliwice,18.10.2024 | Korona Kielce | Piast Gliwice | 0 | 2
Round 11,06.10.2024,Jagiellonia,Legia,06.10.2024 | Jagiellonia | Legia | 1 | 1
Round 11,06.10.2024,Pogon Szczecin,Piast Gliwice,06.10.2024 | Pogon Szczecin | Piast Gliwice | 1 | 0
