round,date,team_home,team_away,full_text
Round 4,02.12.2024,Ghazl El Mahallah,Zamalek,02.12.2024 | Ghazl El Mahallah | Zamalek | 0 | 4
Round 4,02.12.2024,Al Masry,Pyramids,02.12.2024 | Al Masry | Pyramids | 1 | 0
Round 4,02.12.2024,Petrojet,Pharco,02.12.2024 | Petrojet | Pharco | 1 | 2
Round 4,01.12.2024,Enppi,El Ismaily,01.12.2024 | Enppi | El Ismaily | 1 | 0
Round 4,01.12.2024,Smouha,El Gouna,01.12.2024 | Smouha | El Gouna | 0 | 0
Round 4,01.12.2024,National Bank Egypt,Al Ahly,01.12.2024 | National Bank Egypt | Al Ahly | 0 | 0
Round 4,30.11.2024,Al Ittihad,El Gaish,30.11.2024 | Al Ittihad | El Gaish | 0 | 1
Round 4,30.11.2024,Ceramica Cleopatra,Modern Sport,30.11.2024 | Ceramica Cleopatra | Modern Sport | 4 | 1
Round 4,30.11.2024,ZED,Haras El Hodood,30.11.2024 | ZED | Haras El Hodood | 2 | 0
Round 3,24.11.2024,Haras El Hodood,Ceramica Cleopatra,24.11.2024 | Haras El Hodood | Ceramica Cleopatra | 0 | 0
Round 3,24.11.2024,Modern Sport,ZED,24.11.2024 | Modern Sport | ZED | 0 | 0
Round 3,24.11.2024,El Ismaily,Petrojet,24.11.2024 | El Ismaily | Petrojet | 1 | 0
Round 3,23.11.2024,Zamalek,Al Masry,23.11.2024 | Zamalek | Al Masry | 0 | 1
Round 3,23.11.2024,El Gaish,Smouha,23.11.2024 | El Gaish | Smouha | 0 | 0
Round 3,23.11.2024,El Gouna,Ghazl El Mahallah,23.11.2024 | El Gouna | Ghazl El Mahallah | 0 | 1
Round 3,22.11.2024,Al Ahly,Al Ittihad,22.11.2024 | Al Ahly | Al Ittihad | 1 | 1
Round 3,22.11.2024,Pharco,Enppi,22.11.2024 | Pharco | Enppi | 4 | 3
Round 3,22.11.2024,Pyramids,National Bank Egypt,22.11.2024 | Pyramids | National Bank Egypt | 3 | 1
Round 2,09.11.2024,Ceramica Cleopatra,El Ismaily,09.11.2024 | Ceramica Cleopatra | El Ismaily | 1 | 0
Round 2,09.11.2024,Al Masry,El Gouna,09.11.2024 | Al Masry | El Gouna | 0 | 0
Round 2,09.11.2024,National Bank Egypt,Pharco,09.11.2024 | National Bank Egypt | Pharco | 0 | 0
Round 2,08.11.2024,Enppi,Pyramids,08.11.2024 | Enppi | Pyramids | 1 | 2
Round 2,08.11.2024,Petrojet,Modern Sport,08.11.2024 | Petrojet | Modern Sport | 1 | 1
Round 2,08.11.2024,Smouha,Zamalek,08.11.2024 | Smouha | Zamalek | 0 | 2
Round 2,07.11.2024,ZED,Al Ahly,07.11.2024 | ZED | Al Ahly | 0 | 1
Round 2,07.11.2024,Al Ittihad,Haras El Hodood,07.11.2024 | Al Ittihad | Haras El Hodood | 1 | 0
Round 2,07.11.2024,Ghazl El Mahallah,El Gaish,07.11.2024 | Ghazl El Mahallah | El Gaish | 2 | 3
Round 1,02.11.2024,Al Ahly,Ceramica Cleopatra,02.11.2024 | Al Ahly | Ceramica Cleopatra | 5 | 2
Round 1,02.11.2024,El Ismaily,Ghazl El Mahallah,02.11.2024 | El Ismaily | Ghazl El Mahallah | 0 | 0
Round 1,01.11.2024,Zamalek,National Bank Egypt,01.11.2024 | Zamalek | National Bank Egypt | 3 | 2
Round 1,01.11.2024,Pharco,Al Ittihad,01.11.2024 | Pharco | Al Ittihad | 0 | 1
Round 1,01.11.2024,Pyramids,Petrojet,01.11.2024 | Pyramids | Petrojet | 1 | 1
Round 1,31.10.2024,Modern Sport,Enppi,31.10.2024 | Modern Sport | Enppi | 0 | 0
Round 1,31.10.2024,El Gouna,ZED,31.10.2024 | El Gouna | ZED | 0 | 0
Round 1,30.10.2024,El Gaish,Al Masry,30.10.2024 | El Gaish | Al Masry | 0 | 2
Round 1,30.10.2024,Haras El Hodood,Smouha,30.10.2024 | Haras El Hodood | Smouha | 1 | 3
