round,date,team_home,team_away,full_text
Round 15,30.11.2024,Lobi Stars,Kwara,30.11.2024 | Lobi Stars | Kwara | 1 | 0
Round 14,27.11.2024,Abia Warriors,Katsina Utd,27.11.2024 | Abia Warriors | Katsina Utd | 2 | 0
Round 14,27.11.2024,Akwa United,Plateau United,27.11.2024 | Akwa United | Plateau United | 1 | 0
Round 14,27.11.2024,Bayelsa United,Niger Tornadoes,27.11.2024 | Bayelsa United | Niger Tornadoes | 4 | 1
Round 14,27.11.2024,Ikorodu City,El Kanemi,27.11.2024 | Ikorodu City | El Kanemi | 2 | 0
Round 14,27.11.2024,Kwara,Heartland,27.11.2024 | Kwara | Heartland | 1 | 0
Round 14,27.11.2024,Nasarawa,Bendel,27.11.2024 | Nasarawa | Bendel | 2 | 1
Round 14,27.11.2024,Rangers Int'l,Lobi Stars,27.11.2024 | Rangers Int'l | Lobi Stars | 3 | 0
Round 14,27.11.2024,Remo Stars,Shooting,27.11.2024 | Remo Stars | Shooting | 2 | 0
Round 14,27.11.2024,Sunshine Stars,Rivers United,27.11.2024 | Sunshine Stars | Rivers United | 1 | 1
Round 13,24.11.2024,Shooting,Bayelsa United,24.11.2024 | Shooting | Bayelsa United | 1 | 0
Round 13,24.11.2024,Katsina Utd,Remo Stars,24.11.2024 | Katsina Utd | Remo Stars | 2 | 0
Round 13,24.11.2024,Rivers United,Abia Warriors,24.11.2024 | Rivers United | Abia Warriors | 1 | 0
Round 13,24.11.2024,Plateau United,Nasarawa,24.11.2024 | Plateau United | Nasarawa | 2 | 0
Round 13,23.11.2024,Bendel,Kwara,23.11.2024 | Bendel | Kwara | 3 | 1
Round 13,23.11.2024,Heartland,Rangers Int'l,23.11.2024 | Heartland | Rangers Int'l | 0 | 0
Round 13,23.11.2024,Lobi Stars,Kano Pillars,23.11.2024 | Lobi Stars | Kano Pillars | 2 | 2
Round 13,23.11.2024,Niger Tornadoes,Ikorodu City,23.11.2024 | Niger Tornadoes | Ikorodu City | 0 | 0
Round 13,23.11.2024,El Kanemi,Akwa United,23.11.2024 | El Kanemi | Akwa United | 1 | 0
Round 12,17.11.2024,Abia Warriors,Enyimba,17.11.2024 | Abia Warriors | Enyimba | 1 | 1
Round 12,17.11.2024,Bayelsa United,Katsina Utd,17.11.2024 | Bayelsa United | Katsina Utd | 1 | 1
Round 12,17.11.2024,Ikorodu City,Shooting,17.11.2024 | Ikorodu City | Shooting | 2 | 1
Round 12,17.11.2024,Kwara,Plateau United,17.11.2024 | Kwara | Plateau United | 2 | 0
Round 12,17.11.2024,Rangers Int'l,Bendel,17.11.2024 | Rangers Int'l | Bendel | 3 | 2
Round 12,17.11.2024,Remo Stars,Rivers United,17.11.2024 | Remo Stars | Rivers United | 0 | 0
Round 12,17.11.2024,Sunshine Stars,Lobi Stars,17.11.2024 | Sunshine Stars | Lobi Stars | 1 | 0
Round 12,17.11.2024,Kano Pillars,Heartland,17.11.2024 | Kano Pillars | Heartland | 2 | 2
Round 12,17.11.2024,El Kanemi,Niger Tornadoes,17.11.2024 | El Kanemi | Niger Tornadoes | 1 | 0
Round 12,16.11.2024,Akwa United,Nasarawa,16.11.2024 | Akwa United | Nasarawa | 1 | 0
Round 11,10.11.2024,Shooting,El Kanemi,10.11.2024 | Shooting | El Kanemi | 3 | 0
Round 11,10.11.2024,Enyimba,Remo Stars,10.11.2024 | Enyimba | Remo Stars | 0 | 0
Round 11,10.11.2024,Heartland,Sunshine Stars,10.11.2024 | Heartland | Sunshine Stars | 1 | 0
Round 11,10.11.2024,Nasarawa,Kwara,10.11.2024 | Nasarawa | Kwara | 0 | 1
Round 11,10.11.2024,Niger Tornadoes,Akwa United,10.11.2024 | Niger Tornadoes | Akwa United | 1 | 0
Round 11,10.11.2024,Plateau United,Rangers Int'l,10.11.2024 | Plateau United | Rangers Int'l | 0 | 0
Round 11,10.11.2024,Rivers United,Bayelsa United,10.11.2024 | Rivers United | Bayelsa United | 0 | 1
Round 11,10.11.2024,Katsina Utd,Ikorodu City,10.11.2024 | Katsina Utd | Ikorodu City | 1 | 2
Round 11,09.11.2024,Bendel,Kano Pillars,09.11.2024 | Bendel | Kano Pillars | 0 | 1
Round 11,09.11.2024,Lobi Stars,Abia Warriors,09.11.2024 | Lobi Stars | Abia Warriors | 3 | 1
Round 10,03.11.2024,Abia Warriors,Heartland,03.11.2024 | Abia Warriors | Heartland | 0 | 2
Round 10,03.11.2024,Akwa United,Kwara,03.11.2024 | Akwa United | Kwara | 2 | 1
