round,date,team_home,team_away,full_text
Round 2,26.10.2024,Ouakam,US Goree,26.10.2024 | Ouakam | US Goree | 2 | 2
Round 2,26.10.2024,Wally Daan,Oslo Football Academy,26.10.2024 | Wally Daan | Oslo Football Academy | 1 | 1
Round 1,20.10.2024,AJEL,Wally Daan,20.10.2024 | AJEL | Wally Daan | 1 | 0
Round 1,20.10.2024,Casa,Sonacos,20.10.2024 | Casa | Sonacos | 0 | 0
Round 1,20.10.2024,Guediawaye,Ouakam,20.10.2024 | Guediawaye | Ouakam | 1 | 1
Round 1,20.10.2024,Jaraaf,Generation F.,20.10.2024 | Jaraaf | Generation F. | 2 | 1
Round 1,20.10.2024,Linguere,Jamono Fatick,20.10.2024 | Linguere | Jamono Fatick | 1 | 1
Round 1,19.10.2024,Dakar SC,Pikine,19.10.2024 | Dakar SC | Pikine | 4 | 1
Round 1,19.10.2024,Teungueth,ASC HLM,19.10.2024 | Teungueth | ASC HLM | 2 | 1
Round 1,19.10.2024,US Goree,Oslo Football Academy,19.10.2024 | US Goree | Oslo Football Academy | 3 | 1
