round,date,team_home,team_away,full_text
7,16.05.2025,Stromsgodset,Bryne,16.05.2025 | Stromsgodset | Bryne | 0 | 2
7,16.05.2025,Tromso,Bodo/Glimt,16.05.2025 | Tromso | Bodo/Glimt | 2 | 1
7,16.05.2025,Viking,Sandefjord,16.05.2025 | Viking | Sandefjord | 3 | 1
6,11.05.2025,Haugesund,Viking,11.05.2025 | Haugesund | Viking | 1 | 4
6,11.05.2025,Bryne,Molde,11.05.2025 | Bryne | Molde | 0 | 3
6,11.05.2025,KFUM Oslo,Tromso,11.05.2025 | KFUM Oslo | Tromso | 1 | 3
6,11.05.2025,Kristiansund,Fredrikstad,11.05.2025 | Kristiansund | Fredrikstad | 0 | 1
6,11.05.2025,Sandefjord,Valerenga,11.05.2025 | Sandefjord | Valerenga | 2 | 1
6,11.05.2025,Sarpsborg 08,HamKam,11.05.2025 | Sarpsborg 08 | HamKam | 4 | 0
6,11.05.2025,Brann,Rosenborg,11.05.2025 | Brann | Rosenborg | 0 | 0
5,04.05.2025,Rosenborg,Bryne,04.05.2025 | Rosenborg | Bryne | 3 | 0
5,04.05.2025,Molde,Haugesund,04.05.2025 | Molde | Haugesund | 2 | 1
5,04.05.2025,Stromsgodset,Kristiansund,04.05.2025 | Stromsgodset | Kristiansund | 1 | 2
5,04.05.2025,Tromso,Sandefjord,04.05.2025 | Tromso | Sandefjord | 0 | 1
5,04.05.2025,Viking,Sarpsborg 08,04.05.2025 | Viking | Sarpsborg 08 | 0 | 0
5,03.05.2025,Valerenga,Brann,03.05.2025 | Valerenga | Brann | 2 | 4
5,02.05.2025,HamKam,KFUM Oslo,02.05.2025 | HamKam | KFUM Oslo | 0 | 0
17,01.05.2025,Rosenborg,Kristiansund,01.05.2025 | Rosenborg | Kristiansund | 1 | 1
18,30.04.2025,Viking,Haugesund,30.04.2025 | Viking | Haugesund | 5 | 1
4,27.04.2025,Viking,Tromso,27.04.2025 | Viking | Tromso | 4 | 4
4,27.04.2025,Sarpsborg 08,Stromsgodset,27.04.2025 | Sarpsborg 08 | Stromsgodset | 2 | 3
4,27.04.2025,Bodo/Glimt,KFUM Oslo,27.04.2025 | Bodo/Glimt | KFUM Oslo | 3 | 0
4,27.04.2025,Brann,Bryne,27.04.2025 | Brann | Bryne | 3 | 2
4,27.04.2025,Haugesund,Fredrikstad,27.04.2025 | Haugesund | Fredrikstad | 0 | 0
