round,date,team_home,team_away,full_text
4,13.10.2024,Stade d'Abidjan,SO Armee,13.10.2024 | Stade d'Abidjan | SO Armee | 0 | 1
4,13.10.2024,Lys Sassandra,Bouake,13.10.2024 | Lys Sassandra | Bouake | 1 | 0
4,13.10.2024,Olympique Sport,AS Denguele,13.10.2024 | Olympique Sport | AS Denguele | 3 | 1
4,13.10.2024,San Pedro,Mouna,13.10.2024 | San Pedro | Mouna | 0 | 1
4,13.10.2024,SOL,Zoman,13.10.2024 | SOL | Zoman | 1 | 0
4,12.10.2024,Stella Adjame,ASEC Mimosas,12.10.2024 | Stella Adjame | ASEC Mimosas | 0 | 0
4,12.10.2024,Academie de FAD,Korhogo,12.10.2024 | Academie de FAD | Korhogo | 1 | 0
4,12.10.2024,ISCA,Racing d'Abidjan,12.10.2024 | ISCA | Racing d'Abidjan | 1 | 0
3,06.10.2024,Zoman,Stella Adjame,06.10.2024 | Zoman | Stella Adjame | 1 | 1
3,06.10.2024,AS Denguele,Korhogo,06.10.2024 | AS Denguele | Korhogo | 1 | 0
3,06.10.2024,Racing d'Abidjan,Stade d'Abidjan,06.10.2024 | Racing d'Abidjan | Stade d'Abidjan | 0 | 1
3,06.10.2024,San Pedro,Lys Sassandra,06.10.2024 | San Pedro | Lys Sassandra | 1 | 2
3,05.10.2024,Mouna,Academie de FAD,05.10.2024 | Mouna | Academie de FAD | 0 | 2
3,05.10.2024,ASEC Mimosas,Olympique Sport,05.10.2024 | ASEC Mimosas | Olympique Sport | 1 | 0
3,05.10.2024,SO Armee,Bouake,05.10.2024 | SO Armee | Bouake | 1 | 1
1,03.10.2024,San Pedro,Stade d'Abidjan,03.10.2024 | San Pedro | Stade d'Abidjan | 4 | 0
2,29.09.2024,Academie de FAD,ASEC Mimosas,29.09.2024 | Academie de FAD | ASEC Mimosas | 2 | 0
2,29.09.2024,Korhogo,San Pedro,29.09.2024 | Korhogo | San Pedro | 0 | 5
2,29.09.2024,Olympique Sport,Zoman,29.09.2024 | Olympique Sport | Zoman | 1 | 1
2,28.09.2024,Bouake,AS Denguele,28.09.2024 | Bouake | AS Denguele | 1 | 0
2,28.09.2024,Lys Sassandra,SOL,28.09.2024 | Lys Sassandra | SOL | 0 | 1
2,28.09.2024,SO Armee,Mouna,28.09.2024 | SO Armee | Mouna | 1 | 2
2,28.09.2024,Stella Adjame,Racing d'Abidjan,28.09.2024 | Stella Adjame | Racing d'Abidjan | 1 | 1
1,25.09.2024,Racing d'Abidjan,Academie de FAD,25.09.2024 | Racing d'Abidjan | Academie de FAD | 1 | 2
1,25.09.2024,ASEC Mimosas,Korhogo,25.09.2024 | ASEC Mimosas | Korhogo | 3 | 1
1,21.09.2024,Zoman,Lys Sassandra,21.09.2024 | Zoman | Lys Sassandra | 0 | 3
1,21.09.2024,AS Denguele,SO Armee,21.09.2024 | AS Denguele | SO Armee | 3 | 1
1,21.09.2024,Mouna,Bouake,21.09.2024 | Mouna | Bouake | 1 | 1
1,20.09.2024,SOL,Stella Adjame,20.09.2024 | SOL | Stella Adjame | 1 | 1
